numero_de_cliente,Predicted
249221109,0
249221468,0
249223005,0
249228180,1
249232117,0
249236712,0
249236857,0
249237079,0
249237446,0
249239632,0
249242331,0
249250495,0
249255311,0
249261075,0
249267267,0
249267856,0
249270768,0
249272015,0
249275730,0
249278864,0
249280836,1
249281639,0
249283313,0
249283680,0
249286746,1
249291844,0
249296729,0
249301400,0
249305414,0
249307967,0
249311169,0
249312997,0
249318906,0
249325098,0
249325175,0
249326703,0
249328898,0
249328966,0
249331084,0
249337720,0
249340273,0
249345081,0
249356464,0
249387088,0
249392271,0
249394022,0
249420563,0
249424500,1
249427199,0
249429530,0
249430265,0
249432451,0
249436533,0
249439812,0
249445798,0
249447182,0
249453237,0
249453382,0
249461691,0
249470734,0
249472921,0
249494150,0
249502536,0
249506183,0
249512084,0
249514202,0
249519018,0
249524261,0
249532144,0
249540530,0
249548113,0
249552562,0
249555918,0
249576192,0
249576337,0
249584210,0
249590846,0
249596832,0
249611922,0
249611999,0
249615500,0
249619804,0
249619949,0
249645252,0
249647806,0
249663118,0
249667857,1
249673254,0
249677635,0
249679676,0
249682665,0
249694475,0
249697029,0
249699505,0
249699582,0
249702503,0
249704177,0
249715406,1
249717960,0
249722042,0
249725253,0
249727225,1
249728976,0
249738233,0
249748370,0
249755005,0
249758583,0
249767114,0
249771051,0
249785492,0
249785637,0
249788336,0
249790812,0
249794681,0
249805330,0
249805543,0
249809412,0
249827422,0
249845364,0
249851342,0
249856081,0
249857029,0
249866952,0
249872853,0
249881829,0
249889190,0
249894732,0
249896927,0
249896995,0
249900932,0
249902392,0
249905603,0
249908302,0
249908447,0
249912819,0
249912965,1
249926167,0
249927260,0
249929668,0
249936158,0
249955774,0
249975467,1
249981376,0
249985313,0
249986987,0
249988157,0
249988302,0
249994502,0
249998652,1
250000480,0
250005510,0
250007628,0
250008430,0
250014485,0
250015066,1
250017978,0
250026876,0
250027610,0
250042632,0
250044673,0
250047662,0
250049122,0
250050070,0
250050941,0
250052547,0
250054733,0
250058456,0
250063127,0
250066475,0
250071949,0
250076757,0
250077346,0
250078149,0
250079242,0
250083179,0
250085954,0
250087192,0
250090907,0
250091274,0
250095211,0
250098934,0
250100173,0
250102214,0
250106296,0
250115997,0
250126202,0
250128396,0
250136048,0
250141377,1
250145527,0
250147278,0
250147645,0
250152461,0
250152675,0
250153409,0
250153554,0
250155664,0
250156321,0
250158875,0
250159165,0
250159609,0
250166168,0
250171129,0
250173973,0
250175143,0
250176672,0
250188269,0
250194682,0
250202923,0
250204161,0
250204819,0
250205988,0
250213281,0
250226040,0
250230566,0
250232530,0
250235519,0
250237637,0
250238149,0
250238730,0
250240122,0
250245664,0
250245878,0
250247995,0
250250907,0
250254050,0
250257184,0
250257842,0
250265639,0
250270967,0
250284896,0
250286860,0
250288909,0
250289268,0
250304879,0
250305092,0
250309985,1
250312095,0
250315451,0
250338568,1
250339003,0
